chr	start	end	name	gieStain
chr15	17186631	17694466	q11.1	acen
chr15	17694467	23236963	q11.2	gneg
chr15	23236964	25542506	q12	gpos50
chr15	25542507	27791711	q13.1	gneg
chr15	27791712	28693986	q13.2	gpos50
chr15	28693987	31196487	q13.3	gneg
chr15	31196488	37605195	q14	gpos75
chr15	37605196	40306040	q15.1	gneg
chr15	40306041	41107300	q15.2	gpos25
chr15	41107301	42307677	q15.3	gneg
chr15	42307678	47008200	q21.1	gpos75
chr15	47008201	50408265	q21.2	gneg
chr15	50408266	56602018	q21.3	gpos75
chr15	56602019	56802078	q22.1	gneg
chr15	56802079	61204679	q22.2	gpos25
chr15	61204680	64721821	q22.31	gneg
chr15	64721822	64821874	q22.32	gpos25
chr15	64821875	65021911	q22.33	gneg
chr15	65021912	70217331	q23	gpos25
chr15	70217332	72769881	q24.1	gneg
chr15	72769882	74171079	q24.2	gpos25
chr15	74171080	75862542	q24.3	gneg
chr15	75862543	79264071	q25.1	gpos50
chr15	79264072	82452409	q25.2	gneg
chr15	82452410	86254599	q25.3	gpos50
chr15	86254600	91561911	q26.1	gneg
chr15	91561912	95765652	q26.2	gpos50
chr15	95765653	99753195	q26.3	gneg
chr16	1	7831635	p13.3	gneg
chr16	7831636	10435669	p13.2	gpos50
chr16	10435670	12537038	p13.13	gneg
chr16	12537039	14730876	p13.12	gpos50
chr16	14730877	16712187	p13.11	gneg
chr16	16712188	21130950	p12.3	gpos50
chr16	21130951	24476520	p12.2	gneg
chr16	24476521	28752507	p12.1	gpos50
chr16	28752508	35848286	p11.2	gneg
chr16	35848287	36838903	p11.1	acen
chr16	36838904	37829521	q11.1	acen
chr16	37829522	52219471	q11.2	gvar
chr16	52219472	58397876	q12.1	gneg
chr16	58397877	61794998	q12.2	gpos50
chr16	61794999	63095972	q13	gneg
chr16	63095973	72394295	q21	gpos100
chr16	72394296	76611172	q22.1	gneg
chr16	76611173	78617811	q22.2	gpos50
chr16	78617812	79917729	q22.3	gneg
chr16	79917730	85256228	q23.1	gpos75
chr16	85256229	87661662	q23.2	gneg
chr16	87661663	90166083	q23.3	gpos50
chr16	90166084	93070234	q24.1	gneg
chr16	93070235	94769136	q24.2	gpos25
chr16	94769137	96330374	q24.3	gneg
chr17	1	3288940	p13.3	gneg
chr17	3288941	6400012	p13.2	gpos50
chr17	6400013	10707908	p13.1	gneg
chr17	10707909	16002309	p12	gpos75
chr17	16002310	23892419	p11.2	gneg
chr17	23892420	25689679	p11.1	acen
chr17	25689680	27486939	q11.1	acen
chr17	27486940	34446012	q11.2	gneg
chr17	34446013	40663561	q12	gpos50
chr17	40663562	41063885	q21.1	gneg
chr17	41063886	43657141	q21.2	gpos25
chr17	43657142	47661458	q21.31	gneg
chr17	47661459	50163080	q21.32	gpos25
chr17	50163081	52967757	q21.33	gneg
chr17	52967758	60368167	q22	gpos75
chr17	60368168	61068949	q23.1	gneg
chr17	61068950	63970246	q23.2	gpos75
chr17	63970247	65469760	q23.3	gneg
chr17	65469761	67070785	q24.1	gpos50
chr17	67070786	69976574	q24.2	gneg
chr17	69976575	73787784	q24.3	gpos75
chr17	73787785	77692007	q25.1	gneg
chr17	77692008	78093613	q25.2	gpos25
chr17	78093614	84276897	q25.3	gneg
chr18	1	3055502	p11.32	gneg
chr18	3055503	7363114	p11.31	gpos50
chr18	7363115	8663156	p11.23	gneg
chr18	8663157	11062106	p11.22	gpos25
chr18	11062107	15965699	p11.21	gneg
chr18	15965700	18449624	p11.1	acen
chr18	18449625	20933550	q11.1	acen
chr18	20933551	27694024	q11.2	gneg
chr18	27694025	35291319	q12.1	gpos100
chr18	35291320	39695477	q12.2	gneg
chr18	39695478	46090953	q12.3	gpos75
chr18	46090954	50901745	q21.1	gneg
chr18	50901746	56402692	q21.2	gpos75
chr18	56402693	58801152	q21.31	gneg
chr18	58801153	61503246	q21.32	gpos50
chr18	61503247	64105093	q21.33	gneg
chr18	64105094	69316653	q22.1	gpos100
chr18	69316654	71221701	q22.2	gneg
chr18	71221702	75629292	q22.3	gpos25
chr18	75629293	80542538	q23	gneg
chr19	1	6889318	p13.3	gneg
chr19	6889319	12724341	p13.2	gpos25
chr19	12724342	13926177	p13.13	gneg
chr19	13926178	16234072	p13.12	gpos25
chr19	16234073	20037734	p13.11	gneg
chr19	20037735	25817676	p12	gvar
chr19	25817677	27792923	p11	acen
chr19	27792924	29768171	q11	acen
chr19	29768172	34418519	q12	gvar
chr19	34418520	37644588	q13.11	gneg
chr19	37644589	40601536	q13.12	gpos25
chr19	40601537	41002157	q13.13	gneg
chr19	41002158	45718957	q13.2	gpos25
chr19	45718958	47524747	q13.31	gneg
chr19	47524748	50330819	q13.32	gpos25
chr19	50330820	53989630	q13.33	gneg
chr19	53989631	56182556	q13.41	gpos25
chr19	56182557	58899358	q13.42	gneg
chr19	58899359	61707364	q13.43	gpos25
chr2	1	4423386	p25.3	gneg
chr2	4423387	6921497	p25.2	gpos50
chr2	6921498	12028815	p25.1	gneg
chr2	12028816	16531703	p24.3	gpos75
chr2	16531704	19032774	p24.2	gneg
chr2	19032775	23835087	p24.1	gpos75
chr2	23835088	27743068	p23.3	gneg
chr2	27743069	29843598	p23.2	gpos25
chr2	29843599	31845058	p23.1	gneg
chr2	31845059	36306629	p22.3	gpos75
chr2	36306630	38306895	p22.2	gneg
chr2	38306896	41509232	p22.1	gpos50
chr2	41509233	47505052	p21	gneg
chr2	47505053	52596301	p16.3	gpos100
chr2	52596302	54694000	p16.2	gneg
chr2	54694001	61005834	p16.1	gpos100
chr2	61005835	63907559	p15	gneg
chr2	63907560	68410570	p14	gpos50
chr2	68410571	71311026	p13.3	gneg
chr2	71311027	73312998	p13.2	gpos50
chr2	73312999	74808844	p13.1	gneg
chr2	74808845	83100333	p12	gpos100
chr2	83100334	92333543	p11.2	gneg
chr2	92333544	93503283	p11.1	acen
chr2	93503284	94673023	q11.1	acen
chr2	94673024	102558292	q11.2	gneg
chr2	102558293	105761211	q12.1	gpos50
chr2	105761212	107161426	q12.2	gneg
chr2	107161427	109160598	q12.3	gpos25
chr2	109160599	112626870	q13	gneg
chr2	112626871	118533173	q14.1	gpos50
chr2	118533174	122035284	q14.2	gneg
chr2	122035285	129528325	q14.3	gpos50
chr2	129528326	132134645	q21.1	gneg
chr2	132134646	134739485	q21.2	gpos25
chr2	134739486	136544463	q21.3	gneg
chr2	136544464	141946261	q22.1	gpos100
chr2	141946262	143848187	q22.2	gneg
chr2	143848188	148350462	q22.3	gpos100
chr2	148350463	149450376	q23.1	gneg
chr2	149450377	150050446	q23.2	gpos25
chr2	150050447	154452841	q23.3	gneg
chr2	154452842	159362096	q24.1	gpos75
chr2	159362097	163356865	q24.2	gneg
chr2	163356866	169374490	q24.3	gpos75
chr2	169374491	177582181	q31.1	gneg
chr2	177582182	180183173	q31.2	gpos50
chr2	180183174	182589080	q31.3	gneg
chr2	182589081	188988809	q32.1	gpos75
chr2	188988810	191589136	q32.2	gneg
chr2	191589137	197084040	q32.3	gpos75
chr2	197084041	202981065	q33.1	gneg
chr2	202981066	204581908	q33.2	gpos50
chr2	204581909	208679779	q33.3	gneg
chr2	208679780	214984516	q34	gpos100
chr2	214984517	221185014	q35	gneg
chr2	221185015	224783144	q36.1	gpos75
chr2	224783145	225681833	q36.2	gneg
chr2	225681834	230582566	q36.3	gpos100
chr2	230582567	235189048	q37.1	gneg
chr2	235189049	236890330	q37.2	gpos50
chr2	236890331	242696752	q37.3	gneg
chr20	1	5139422	p13	gneg
chr20	5139423	9242915	p12.3	gpos75
chr20	9242916	12043277	p12.2	gneg
chr20	12043278	17951106	p12.1	gpos75
chr20	17951107	21359369	p11.23	gneg
chr20	21359370	22357561	p11.22	gpos25
chr20	22357562	26925852	p11.21	gneg
chr20	26925853	28012753	p11.1	acen
chr20	28012754	29099655	q11.1	acen
chr20	29099656	35226553	q11.21	gneg
chr20	35226554	37520975	q11.22	gpos25
chr20	37520976	40730034	q11.23	gneg
chr20	40730035	44834038	q12	gpos75
chr20	44834039	45233263	q13.11	gneg
chr20	45233264	49539094	q13.12	gpos25
chr20	49539095	52970605	q13.13	gneg
chr20	52970606	58177493	q13.2	gpos75
chr20	58177494	59578060	q13.31	gneg
chr20	59578061	61484264	q13.32	gpos50
chr20	61484265	66210255	q13.33	gneg
chr21	1	3084882	p13	gvar
chr21	3084883	5633495	p12	stalk
chr21	5633496	10962853	p11.2	gvar
chr21	10962854	11134529	p11.1	acen
chr21	11134530	11306205	q11.1	acen
chr21	11306206	13355188	q11.2	gneg
chr21	13355189	20956835	q21.1	gpos100
chr21	20956836	23857586	q21.2	gneg
chr21	23857587	28565933	q21.3	gpos75
chr21	28565934	32782056	q22.11	gneg
chr21	32782057	34782581	q22.12	gpos50
chr21	34782582	36683433	q22.13	gneg
chr21	36683434	39588333	q22.2	gpos50
chr21	39588334	45090682	q22.3	gneg
chr22	1	4770731	p13	gvar
chr22	4770732	5743502	p12	stalk
chr22	5743503	12788180	p11.2	gvar
chr22	12788181	14249622	p11.1	acen
chr22	14249623	15711065	q11.1	acen
chr22	15711066	22113480	q11.21	gneg
chr22	22113481	23522872	q11.22	gpos25
chr22	23522873	25961147	q11.23	gneg
chr22	25961148	29663505	q12.1	gpos50
chr22	29663506	32264007	q12.2	gneg
chr22	32264008	37659920	q12.3	gpos50
chr22	37659921	41071957	q13.1	gneg
chr22	41071958	44282889	q13.2	gpos50
chr22	44282890	48592476	q13.31	gneg
chr22	48592477	49604335	q13.32	gpos50
chr22	49604336	51324926	q13.33	gneg
chr3	1	2794029	p26.3	gpos50
chr3	2794030	3995951	p26.2	gneg
chr3	3995952	8091216	p26.1	gpos50
chr3	8091217	11595822	p25.3	gneg
chr3	11595823	13200348	p25.2	gpos25
chr3	13200349	16301213	p25.1	gneg
chr3	16301214	23804776	p24.3	gpos100
chr3	23804777	26302605	p24.2	gneg
chr3	26302606	30802486	p24.1	gpos75
chr3	30802487	32002957	p23	gneg
chr3	32002958	36401366	p22.3	gpos50
chr3	36401367	39312902	p22.2	gneg
chr3	39312903	43615563	p22.1	gpos75
chr3	43615564	44115566	p21.33	gneg
chr3	44115567	44215563	p21.32	gpos50
chr3	44215564	50629881	p21.31	gneg
chr3	50629882	52332899	p21.2	gpos25
chr3	52332900	54433863	p21.1	gneg
chr3	54433864	58640379	p14.3	gpos50
chr3	58640380	63843624	p14.2	gneg
chr3	63843625	69736880	p14.1	gpos50
chr3	69736881	74141615	p13	gneg
chr3	74141616	79855975	p12.3	gpos75
chr3	79855976	83556432	p12.2	gneg
chr3	83556433	87174355	p12.1	gpos75
chr3	87174356	91738002	p11.2	gneg
chr3	91738003	94076514	p11.1	acen
chr3	94076515	96415026	q11.1	acen
chr3	96415027	101303688	q11.2	gvar
chr3	101303689	103005343	q12.1	gneg
chr3	103005344	103905942	q12.2	gpos25
chr3	103905943	105816831	q12.3	gneg
chr3	105816832	109218980	q13.11	gpos75
chr3	109218981	110919781	q13.12	gneg
chr3	110919782	114320814	q13.13	gpos50
chr3	114320815	116421198	q13.2	gneg
chr3	116421199	120319753	q13.31	gpos75
chr3	120319754	122019706	q13.32	gneg
chr3	122019707	124919592	q13.33	gpos75
chr3	124919593	126826138	q21.1	gneg
chr3	126826139	128832394	q21.2	gpos25
chr3	128832395	132244475	q21.3	gneg
chr3	132244476	136745163	q22.1	gpos25
chr3	136745164	138745773	q22.2	gneg
chr3	138745774	141741001	q22.3	gpos25
chr3	141741002	145847398	q23	gneg
chr3	145847399	151950769	q24	gpos100
chr3	151950770	155067896	q25.1	gneg
chr3	155067897	158073984	q25.2	gpos50
chr3	158073985	160074579	q25.31	gneg
chr3	160074580	162074354	q25.32	gpos50
chr3	162074355	163774734	q25.33	gneg
chr3	163774735	170683909	q26.1	gpos100
chr3	170683910	173984304	q26.2	gneg
chr3	173984305	178794975	q26.31	gpos75
chr3	178794976	182103836	q26.32	gneg
chr3	182103837	185805095	q26.33	gpos75
chr3	185805096	187615802	q27.1	gneg
chr3	187615803	189115680	q27.2	gpos25
chr3	189115681	191017553	q27.3	gneg
chr3	191017554	195295941	q28	gpos75
chr3	195295942	201105948	q29	gneg
chr4	1	4469440	p16.3	gneg
chr4	4469441	5971735	p16.2	gpos25
chr4	5971736	11276065	p16.1	gneg
chr4	11276066	14981780	p15.33	gpos50
chr4	14981781	17682307	p15.32	gneg
chr4	17682308	21281575	p15.31	gpos75
chr4	21281576	27685358	p15.2	gneg
chr4	27685359	35768949	p15.1	gpos100
chr4	35768950	41173799	p14	gneg
chr4	41173800	44566953	p13	gpos50
chr4	44566954	49705154	p12	gneg
chr4	49705155	52452474	p11	acen
chr4	52452475	55199795	q11	acen
chr4	55199796	61991213	q12	gneg
chr4	61991214	68936809	q13.1	gpos100
chr4	68936810	72734812	q13.2	gneg
chr4	72734813	78640131	q13.3	gpos75
chr4	78640132	81340837	q21.1	gneg
chr4	81340838	84829707	q21.21	gpos50
chr4	84829708	86530115	q21.22	gneg
chr4	86530116	89329480	q21.23	gpos25
chr4	89329481	90429379	q21.3	gneg
chr4	90429380	96127729	q22.1	gpos75
chr4	96127730	97515472	q22.2	gneg
chr4	97515473	101214669	q22.3	gpos75
chr4	101214670	103415497	q23	gneg
chr4	103415498	110005081	q24	gpos50
chr4	110005082	116508718	q25	gneg
chr4	116508719	123205172	q26	gpos75
chr4	123205173	126104099	q27	gneg
chr4	126104100	131203026	q28.1	gpos50
chr4	131203027	133404460	q28.2	gneg
chr4	133404461	141823705	q28.3	gpos100
chr4	141823706	143919702	q31.1	gneg
chr4	143919703	149216051	q31.21	gpos25
chr4	149216052	150824125	q31.22	gneg
chr4	150824126	153521681	q31.23	gpos25
chr4	153521682	157931811	q31.3	gneg
chr4	157931812	164150415	q32.1	gpos100
chr4	164150416	166947399	q32.2	gneg
chr4	166947400	172559730	q32.3	gpos100
chr4	172559731	174357423	q33	gneg
chr4	174357424	178738596	q34.1	gpos75
chr4	178738597	179939101	q34.2	gneg
chr4	179939102	185641813	q34.3	gpos100
chr4	185641814	189540361	q35.1	gneg
chr4	189540362	193574945	q35.2	gpos25
chr5	1	4327607	p15.33	gneg
chr5	4327608	6228676	p15.32	gpos25
chr5	6228677	9839807	p15.31	gneg
chr5	9839808	14939449	p15.2	gpos50
chr5	14939450	18401838	p15.1	gneg
chr5	18401839	23407694	p14.3	gpos100
chr5	23407695	24705214	p14.2	gneg
chr5	24705215	29005224	p14.1	gpos100
chr5	29005225	33919872	p13.3	gneg
chr5	33919873	38649069	p13.2	gpos25
chr5	38649070	42755507	p13.1	gneg
chr5	42755508	47039134	p12	gpos50
chr5	47039135	48317879	p11	acen
chr5	48317880	49596625	q11.1	acen
chr5	49596626	60418219	q11.2	gneg
chr5	60418220	64420173	q12.1	gpos75
chr5	64420174	64720135	q12.2	gneg
chr5	64720136	68222153	q12.3	gpos75
chr5	68222154	69922486	q13.1	gneg
chr5	69922487	74481328	q13.2	gpos50
chr5	74481329	78082577	q13.3	gneg
chr5	78082578	82584664	q14.1	gpos50
chr5	82584665	83988771	q14.2	gneg
chr5	83988772	93484055	q14.3	gpos100
chr5	93484056	99403284	q15	gneg
chr5	99403285	103908183	q21.1	gpos100
chr5	103908184	105604211	q21.2	gneg
chr5	105604212	110710493	q21.3	gpos100
chr5	110710494	112710455	q22.1	gneg
chr5	112710456	114312885	q22.2	gpos50
chr5	114312886	116412397	q22.3	gneg
chr5	116412398	122616882	q23.1	gpos100
chr5	122616883	128419736	q23.2	gneg
chr5	128419737	131718996	q23.3	gpos100
chr5	131718997	137422646	q31.1	gneg
chr5	137422647	140625098	q31.2	gpos25
chr5	140625099	145634538	q31.3	gneg
chr5	145634539	150936541	q32	gpos75
chr5	150936542	153833148	q33.1	gneg
chr5	153833149	156818817	q33.2	gpos50
chr5	156818818	161028563	q33.3	gneg
chr5	161028564	169535680	q34	gpos100
chr5	169535681	173840079	q35.1	gneg
chr5	173840080	177643208	q35.2	gpos25
chr5	177643209	182045439	q35.3	gneg
chr6	1	2163637	p25.3	gneg
chr6	2163638	4069276	p25.2	gpos25
chr6	4069277	6969513	p25.1	gneg
chr6	6969514	10467733	p24.3	gpos50
chr6	10467734	11468370	p24.2	gneg
chr6	11468371	13273264	p24.1	gpos25
chr6	13273265	15073193	p23	gneg
chr6	15073194	25065737	p22.3	gpos75
chr6	25065738	26968681	p22.2	gneg
chr6	26968682	30364188	p22.1	gpos50
chr6	30364189	31953196	p21.33	gneg
chr6	31953197	33321362	p21.32	gpos25
chr6	33321363	36420643	p21.31	gneg
chr6	36420644	40327879	p21.2	gpos25
chr6	40327880	46035128	p21.1	gneg
chr6	46035129	51643048	p12.3	gpos100
chr6	51643049	52839576	p12.2	gneg
chr6	52839577	57039025	p12.1	gpos100
chr6	57039026	58286706	p11.2	gneg
chr6	58286707	59672548	p11.1	acen
chr6	59672549	61058390	q11.1	acen
chr6	61058391	63845066	q11.2	gneg
chr6	63845067	70378649	q12	gpos100
chr6	70378650	76377151	q13	gneg
chr6	76377152	84423242	q14.1	gpos50
chr6	84423243	85423294	q14.2	gneg
